Name_submitted	Name_matched	Author_matched	Overall_score	Taxonomic_status	Accepted_name	Accepted_author	Accepted_family	Source	Warnings	Accepted_name_lsid	user_id
Rosaceae Amygdalus vavilovii M. Pop.	Amygdalus		0.6	Accepted	Amygdalus	L.	Rosaceae	tropicos	 [Partial match] 		11414
Chenopodiaceae Anabasis aphylla L.	Anabasis aphylla	L.	1	Accepted	Anabasis aphylla	L.	Amaranthaceae	tropicos	 		11415
Annonaceae Anaxagorea javanica	Anaxagorea javanica		1	No opinion				tropicos	 		11416
Primulaceae Androsace filiformis	Androsace filiformis		1	Accepted	Androsace filiformis	Retz.	Primulaceae	tropicos;usda	 		11417
Primulaceae Androsace incana	Androsace incana		1	Accepted	Androsace incana	Lam.	Primulaceae	tropicos	 		11418
Primulaceae Androsace lactea	Androsace lactea		1	Illegitimate				tropicos	 [Ambiguous match] 		11419
Primulaceae Androsace lactiflora	Androsace lactiflora		1	Accepted	Androsace lactiflora	Pall.	Primulaceae	tropicos	 		11420
Primulaceae Androsace maxima	Androsace maxima		1	Accepted	Androsace maxima	L.	Primulaceae	tropicos;usda	 		11421
Primulaceae Androsace primuloides	Androsace primuloides		1	Synonym	Primula primulina	(Spreng.) H. Hara	Primulaceae	tropicos	 		11422
Primulaceae Androsace sarmentosa	Androsace sarmentosa		1	Accepted	Androsace sarmentosa	Wall.	Primulaceae	tropicos	 		11423
PRIMULACEAE Primula cortusoides	Primula cortusoides		1	No opinion				tropicos	 		10005
Ranunculaceae Anemone baldensis	Anemone baldensis		1	Synonym	Anemonoides baldensis	(L.) Galasso, Banfi & Soldano	Ranunculaceae	tropicos	 		11424
Ranunculaceae Consolida pubescens	Consolida pubescens		1	Accepted	Consolida pubescens	(DC.) Soó	Ranunculaceae	tropicos;usda	 		11673
Bignoniaceae Catalpa bignonioides	Catalpa bignonioides		1	Accepted	Catalpa bignonioides	Walter	Bignoniaceae	tropicos;usda	 		11674
Convolvulus arvensis Ackerwinde	Convolvulus arvensis	L.	0.81	Accepted	Convolvulus arvensis	L.	Convolvulaceae	tropicos;usda	 		11675
Coriandrum sativum Koriander	Coriandrum sativum	L.	0.8	Accepted	Coriandrum sativum	L.	Apiaceae	tropicos;usda	 		11676
Papaveraceae Corydalis bracteata	Corydalis bracteata		1	Accepted	Corydalis bracteata	Pers.	Papaveraceae	tropicos	 		11677
Papaveraceae Corydalis claviculata	Corydalis claviculata		1	No opinion				tropicos	 		11678
Papaveraceae Corydalis glauca	Corydalis glauca		1	Synonym	Corydalis sempervirens	(L.) Pers.	Papaveraceae	tropicos	 		11679
Papaveraceae Corydalis lutea	Corydalis lutea		1	No opinion				tropicos	 		11680
Papaveraceae Corydalis nobilis	Corydalis nobilis		1	Accepted	Corydalis nobilis	(L.) Pers.	Papaveraceae	tropicos	 		11681
Papaveraceae Corydalis pumila	Corydalis pumila		1	No opinion				tropicos	 		11682
Papaveraceae Corydalis solida	Corydalis solida		1	Accepted	Corydalis solida	(L.) Clairv.	Papaveraceae	tropicos;usda	 		11683
Betulaceae Corylus colurna	Corylus colurna		1	Accepted	Corylus colurna	L.	Betulaceae	tropicos;usda	 		11684
Compositae Cosmos bipinnatus	Cosmos bipinnatus		1	Accepted	Cosmos bipinnatus	Cav.	Asteraceae	tropicos;gcc;usda	 		11685
Compositae Cosmos sulphureus	Cosmos sulphureus		1	Accepted	Cosmos sulphureus	Cav.	Asteraceae	tropicos;gcc;usda	 		11686
Zingiberaceae Costus speciosus	Costus speciosus		1	Synonym	Hellenia speciosa	(J. Koenig) Govaerts	Costaceae	tropicos	 		11687
Anacardiaceae Cotinus coggygria	Cotinus coggygria		1	Accepted	Cotinus coggygria	Scop.	Anacardiaceae	tropicos;usda	 		11688
Chrysobalanaceae Couepia longipendula	Couepia longipendula		1	Synonym	Acioa longipendula	(Pilg.) Sothers & Prance	Chrysobalanaceae	tropicos	 		11689
Olacaceae Coula edulis	Coula edulis		1	No opinion				tropicos	 		11690
Rosaceae Crataegus monogyna	Crataegus monogyna		1	Accepted	Crataegus monogyna	Jacq.	Rosaceae	tropicos;usda	 		11691
Compositae Crepis alpina	Crepis alpina		1	Accepted	Crepis alpina	L.	Asteraceae	tropicos;gcc	 		11692
Compositae Crepis aurea subsp. Aurea	Crepis aurea		0.9	Accepted	Crepis aurea	(L.) Cass.	Asteraceae	tropicos;gcc	 		11693
Compositae Crepis bungei	Crepis bungei		1	No opinion				tropicos	 		11694
Compositae Crepis capillaris	Crepis capillaris		1	Accepted	Crepis capillaris	(L.) Wallr.	Asteraceae	tropicos;gcc;usda	 		11695
Compositae Crepis foetida	Crepis foetida		1	Accepted	Crepis foetida	L.	Asteraceae	tropicos;gcc;usda	 		11696
Compositae Crepis foetida subsp. rhoeadifolia	Crepis foetida subsp. rhoeadifolia		1	Synonym	Crepis rhoeadifolia	M. Bieb.	Asteraceae	tropicos	 		11697
Compositae Crepis intermedia	Crepis intermedia		1	Accepted	Crepis intermedia	A. Gray	Asteraceae	tropicos;usda	 		11698
Compositae Crepis orientalis (USA)	Crepis		0.6	Accepted	Crepis	L.	Asteraceae	tropicos;gcc	 [Partial match] 		11699
Asteraceae Crepis rubra	Crepis rubra		1	Accepted	Crepis rubra	L.	Asteraceae	tropicos;gcc;usda	 		11700
Compositae Crepis sibirica	Crepis sibirica		1	Accepted	Crepis sibirica	L.	Asteraceae	tropicos;gcc	 		11701
Asteraceae Crepis thomsonii (Pakistan)	Crepis thomsonii	Babc.	0.8	Synonym	Crepis foetida	L.	Asteraceae	tropicos;gcc	 		11702
Compositae Crepis vesicaria subsp. Taraxacifolia	Crepis vesicaria		0.9	Accepted	Crepis vesicaria	L.	Asteraceae	tropicos;gcc;usda	 		11703
Bignoniaceae Crescentia cujete	Crescentia cujete		1	Accepted	Crescentia cujete	L.	Bignoniaceae	tropicos;usda	 		11704
Leguminosae Catalaria juncea	Crotalaria juncea		0.98	Accepted	Crotalaria juncea	L.	Fabaceae	tropicos;usda	 		11705
Leguminosae Catalaria laburnifolia	Crotalaria laburnifolia		0.98	Accepted	Crotalaria laburnifolia	L.	Fabaceae	tropicos;usda	 		11706
Leguminosae Catalaria medicaginea	Crotalaria medicaginea		0.98	Accepted	Crotalaria medicaginea	Lam.	Fabaceae	tropicos;usda	 		11707
Leguminosae Crotolaria retusa	Crotalaria retusa		0.99	Accepted	Crotalaria retusa	L.	Fabaceae	tropicos;usda	 		11708
Euphorbiaceae Croton joufra roxb.	Croton joufra		0.9	Accepted	Croton joufra	Roxb.	Euphorbiaceae	tropicos	 		11709
Euphorbiaceae Croton sylvaticus	Croton sylvaticus		1	Accepted	Croton sylvaticus	Hochst.	Euphorbiaceae	tropicos	 		11710
