Pub ID	TAB	Measure	Name	Value	Unit
18449	TAB_008808	FattyAcid	18:1-delta-6c	76.10     	GLC area%
11969	TAB_009849	FattyAcid	18:1-delta-6c	26.00     	GLC-Area-%
10727	TAB_008908	FattyAcid	18:1-delta-6c	50.00     	GLC area%
10728	TAB_008909	FattyAcid	18:1-delta-6c	51.00     	GLC area%
10729	TAB_008910	FattyAcid	18:1-delta-6c	53.00     	GLC area%
10730	TAB_008911	FattyAcid	18:1-delta-6c	55.50     	GLC area%
10731	TAB_008912	FattyAcid	18:1-delta-6c	60.00     	GLC area%
10732	TAB_008913	FattyAcid	18:1-delta-6c	81.60     	GLC area%
10733	TAB_008914	FattyAcid	18:1-delta-6c	76.00     	GLC area%
10734	TAB_008915	FattyAcid	18:1-delta-6c	70.00     	GLC area%
21605	TAB_009988	FattyAcid	18:1-delta-6c	0.00      	GLC-Area-%
